"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"36","81.62505013367523","116.88811690734481","0.00732421875","0.0107421875","0.00390625","1560","0.00046337326629834535","32","0.00046337326629834535","0","0.00046337326629834535","0.00046337326629834535","48:0.0019713904873516763;29:0.0024013027775936224","48:68;29:68","48:0.002060749387379407;29:0.0022587229767264405","0.00732421875","Yes"
"37","101.11086473550503","76.30726806781895","0.005615234375","0.0087890625","0.00244140625","1560","0.000408514929815827","32","0.000408514929815827","0","0.000408514929815827","0.000408514929815827","33:0.0024838096655275532;52:0.0021501157555836314","33:88;52:104","33:0.0033867276482906217;52:0.0031691552678565493","0.005615234375","Yes"
"38","246.2664710507437","200.66282385429938","0.0645751953125","0.062255859375","0.06689453125","1560","0.00020159082518735012","32","0.00020159082518735012","0","0.00020159082518735012","0.00020159082518735012","39:0.0171305642532342","53:68;39:68","39:0.019368706082165538","0.0645751953125","Yes"
"39","39.615945921854106","50.85888073261406","0.1209716796875","0.197265625","0.044677734375","1560","0.0007753239074184442","32","0.0007753239074184442","0","0.0007753239074184442","0.0007753239074184442","38:0.0171305642532342;40:0.02600367366850312","38:68;40:68","38:0.019368706082165538;40:0.015954509909500925","0.1209716796875","Yes"
"40","281.1142062706014","154.17342021423255","0.018310546875","0.0166015625","0.025146484375","1560","0.00023551544934991226","32","0.00023551544934991226","0","0.00023551544934991226","0.00023551544934991226","41:0.20258902276219334;34:0.0021886299554158273;39:0.02600367366850312","41:68;34:96;39:68","41:0.09795546703549685;34:0.001694978680632675;39:0.015954509909500925","0.018310546875","Yes"
"41","22.51840811434996","58.25057965828797","0.0921630859375","0.163818359375","0.0205078125","1560","0.046452237065649105","32","0.046452237065649105","0","0.046452237065649105","0.046452237065649105","40:0.20258902276219334;42:0.1522287997436621","40:68;42:68","40:0.09795546703549685;42:0.05287884562143863","0.0921630859375","Yes"
"42","213.15104881989637","140.91489146197986","0.204833984375","0.237060546875","0.172607421875","1560","0.00032480455568575456","32","0.00032480455568575456","0","0.00032480455568575456","0.00032480455568575456","41:0.1522287997436621;43:0.0027331812431807823;54:0.002553784284221705","41:68;43:68;54:80","41:0.05287884562143863;43:0.002920949716078175;54:0.00239244891667012","0.204833984375","Yes"
"43","83.60811077168387","70.38139138304992","0.01123046875","0.013671875","0.0087890625","1560","0.00030714455550089845","32","0.00030714455550089845","0","0.00030714455550089845","0.00030714455550089845","42:0.0027331812431807823;44:0.0017151246647177099","42:68;44:68","42:0.002920949716078175;44:0.003399935404702431","0.01123046875","Yes"
"44","299.00364514039177","82.20041498991513","0.03857421875","0.02734375","0.0498046875","1560","0.00016364823022250942","32","0.00016364823022250942","0","0.00016364823022250942","0.00016364823022250942","45:0.002742573308730817;43:0.0017151246647177099","45:68;35:108;43:68","45:0.005068062401986789;43:0.003399935404702431","0.03857421875","Yes"
"45","47.1340406331967","62.0961011311094","0.00927734375","0.0146484375","0.00390625","1560","0.00034307341265177836","32","0.00034307341265177836","0","0.00034307341265177836","0.00034307341265177836","44:0.002742573308730817;46:0.003347411499575126","44:68;46:68","44:0.005068062401986789;46:0.0030007211929233835","0.00927734375","Yes"
"46","144.5853598200193","115.49317857089477","0.048095703125","0.049560546875","0.046630859375","1560","0.00024336080450302643","32","0.00024336080450302643","0","0.00024336080450302643","0.00024336080450302643","45:0.003347411499575126;47:0.002481053195890759;55:0.0015916358139257403","45:68;47:68;55:68","45:0.0030007211929233835;47:0.0029299935168031477;55:0.0020332046388351066","0.048095703125","Yes"
"47","230.65805020654307","57.359652969242205","0.0189208984375","0.033203125","0.004638671875","1560","0.0003682914395863125","32","0.0003682914395863125","0","0.0003682914395863125","0.0003682914395863125","48:0.0021635710495993554;46:0.002481053195890759","48:68;46:68","48:0.0022209949902875503;46:0.0029299935168031477","0.0189208984375","Yes"
"48","191.78594832386707","228.38053573819664","0.0361328125","0.03759765625","0.03466796875","1560","0.00020240490347098547","32","0.00020240490347098547","0","0.00020240490347098547","0.00020240490347098547","36:0.0019713904873516763;47:0.0021635710495993554;49:0.0024398855772398975","36:68;47:68;49:68","36:0.002060749387379407;47:0.0022209949902875503;49:0.002380621444071307","0.0361328125","Yes"
"49","267.1308070001189","137.15237770682987","0.019775390625","0.01513671875","0.0244140625","1560","0.0001966527633167617","32","0.0001966527633167617","0","0.0001966527633167617","0.0001966527633167617","48:0.0024398855772398975;50:0.001354429549882491","48:68;50:68","48:0.002380621444071307;50:0.0015813849947980407","0.019775390625","Yes"
"50","192.91568858408456","162.52261611676644","0.0968017578125","0.092529296875","0.10107421875","1560","0.00023603483039193947","32","0.00023603483039193947","0","0.00023603483039193947","0.00023603483039193947","56:0.0015453895059324707;49:0.001354429549882491;51:0.0012531676101627809","56:68;49:68;51:68","56:0.0016216799351734257;49:0.0015813849947980407;51:0.0015286708939226679","0.0968017578125","Yes"
"51","326.608669378243","182.77418233389355","0.00830078125","0.00732421875","0.00927734375","1560","0.00022308333727381912","32","0.00022308333727381912","0","0.00022308333727381912","0.00022308333727381912","50:0.0012531676101627809;52:0.001398110439599115","50:68;52:68","50:0.0015286708939226679;52:0.0014031385367751503","0.00830078125","Yes"
"52","186.73132978563135","208.88210426690878","0.030029296875","0.028564453125","0.031494140625","1560","0.00025622387677899904","32","0.00025622387677899904","0","0.00025622387677899904","0.00025622387677899904","51:0.001398110439599115;37:0.0021501157555836314","51:68;37:104","51:0.0014031385367751503;37:0.0031691552678565493","0.030029296875","Yes"
"53","22.368561299607723","62.413003713541706","0.436279296875","0.792236328125","0.080322265625","1560","","32","","0","","","","38:68;57:108","","0.436279296875","Yes"
"54","114.90763997354479","96.56587529930269","0.0224609375","0.012451171875","0.032470703125","1560","0.00023627953131591644","32","0.00023627953131591644","0","0.00023627953131591644","0.00023627953131591644","42:0.002553784284221705;61:0.0038611894906965816","42:80;61:152","42:0.00239244891667012;61:0.0037970769427334294","0.0224609375","Yes"
"55","265.5463046021246","177.8617237215919","0.0096435546875","0.01025390625","0.009033203125","1560","0.00015531578455348644","32","0.00015531578455348644","0","0.00015531578455348644","0.00015531578455348644","65:0.002110494027829646;46:0.0015916358139257403","65:120;46:68","65:0.0020395914689697037;46:0.0020332046388351066","0.0096435546875","Yes"
"56","244.2384010375294","206.263624132065","0.017822265625","0.011962890625","0.023681640625","1560","0.00021258885372819718","32","0.00021258885372819718","0","0.00021258885372819718","0.00021258885372819718","50:0.0015453895059324707;69:0.003034340812657438","50:68;69:160","50:0.0016216799351734257;69:0.003930120430152617","0.017822265625","Yes"
"57","173.9383302366741","192.13370637399336","0.029541015625","0.01220703125","0.046142578125","1560","0.00018637269942473693","32","0.00018637269942473693","0","0.00018637269942473693","0.00018637269942473693","58:0.003534941373514844","53:108;58:68","58:0.002940025198825802","0.029541015625","Yes"
"58","127.76895291281035","120.3966547070677","0.0157470703125","0.01953125","0.011962890625","1560","0.0007168404981118483","32","0.0007168404981118483","0","0.0007168404981118483","0.0007168404981118483","57:0.003534941373514844;59:0.00755883393001025","57:68;59:68","57:0.002940025198825802;59:0.0103716283236793","0.0157470703125","Yes"
"59","159.21841447731438","131.4192498033067","0.0428466796875","0.048095703125","0.03759765625","1560","0.0003570579328200802","32","0.0003570579328200802","0","0.0003570579328200802","0.0003570579328200802","72:0.00558923779564785;58:0.00755883393001025;60:0.00698909435104525","72:68;58:68;60:68","72:0.0075417005790093805;58:0.0103716283236793;60:0.009273288926953893","0.0428466796875","Yes"
"60","191.50044024763363","222.57816156219954","0.0078125","0.0068359375","0.0087890625","1560","0.00018659339054751735","32","0.00018659339054751735","0","0.00018659339054751735","0.00018659339054751735","61:0.00163043560856857;59:0.00698909435104525","61:68;59:68","61:0.0017109335659321878;59:0.009273288926953893","0.0078125","Yes"
"61","178.20772854003118","148.5150399827894","0.014404296875","0.013671875","0.01513671875","1560","0.00024283687313993009","32","0.00024283687313993009","0","0.00024283687313993009","0.00024283687313993009","60:0.00163043560856857;62:0.0025190331723575765;54:0.0038611894906965816","60:68;62:68;54:152","60:0.0017109335659321878;62:0.002497709230422196;54:0.0037970769427334294","0.014404296875","Yes"
"62","91.207799709339","86.1569383522036","0.0137939453125","0.01806640625","0.009521484375","1560","0.00042685530908671414","32","0.00042685530908671414","0","0.00042685530908671414","0.00042685530908671414","61:0.0025190331723575765;63:0.004483451735737359","61:68;63:164","61:0.002497709230422196;63:0.004072542866297629","0.0137939453125","Yes"
"63","235.69812707783007","143.4721652820168","0.0400390625","0.045166015625","0.034912109375","1560","0.0006020765705740228","32","0.0006020765705740228","0","0.0006020765705740228","0.0006020765705740228","62:0.004483451735737359;64:0.0021123593240517935;73:0.0026018809192552284","62:164;64:68;73:88","62:0.004072542866297629;64:0.0021326419438195965;73:0.0028369899258746667","0.0400390625","Yes"
"64","226.3195337436196","146.80369806994946","0.071044921875","0.063720703125","0.078369140625","1560","0.00023584715394038688","32","0.00023584715394038688","0","0.00023584715394038688","0.00023584715394038688","65:0.0018556036897772465;63:0.0021123593240517935","65:68;63:68","65:0.0018507224836780967;63:0.0021326419438195965","0.071044921875","Yes"
"65","209.140296172827","241.07115293613464","0.012939453125","0.013916015625","0.011962890625","1560","0.00020414902197626032","32","0.00020414902197626032","0","0.00020414902197626032","0.00020414902197626032","55:0.002110494027829646;64:0.0018556036897772465;66:0.003089353915246895","55:120;64:68;66:68","55:0.0020395914689697037;64:0.0018507224836780967;66:0.00284370610134535","0.012939453125","Yes"
"66","197.34490068740266","176.99023163679942","0.010009765625","0.0087890625","0.01123046875","1560","0.0006068072351714699","32","0.0006068072351714699","0","0.0006068072351714699","0.0006068072351714699","65:0.003089353915246895;67:0.0025617437954718048","65:68;67:68","65:0.00284370610134535;67:0.003055230967844047","0.010009765625","Yes"
"67","218.73444060366361","150.83027413297722","0.0389404296875","0.041015625","0.036865234375","1560","0.0004397971189331526","32","0.0004397971189331526","0","0.0004397971189331526","0.0004397971189331526","68:0.0026416836660582976;74:0.001824948948821764;66:0.0025617437954718048","68:88;74:72;66:68","68:0.0021753680442529177;74:0.002616848942815747;66:0.003055230967844047","0.0389404296875","Yes"
"68","180.70347519468862","83.50785717462772","0.0089111328125","0.007080078125","0.0107421875","1560","0.0003289796140359222","32","0.0003289796140359222","0","0.0003289796140359222","0.0003289796140359222","67:0.0026416836660582976;69:0.002332958406024349","67:88;69:68","67:0.0021753680442529177;69:0.002677765032906343","0.0089111328125","Yes"
"69","68.45062975793516","53.49012819342731","0.0401611328125","0.05322265625","0.027099609375","1560","0.000311240687448894","32","0.000311240687448894","0","0.000311240687448894","0.000311240687448894","56:0.003034340812657438;68:0.002332958406024349;70:0.05913458296514898","56:160;68:68;70:68","56:0.003930120430152617;68:0.002677765032906343;70:0.012628468137774157","0.0401611328125","Yes"
"70","54.656081575386416","31.97034565041761","0.0621337890625","0.0537109375","0.070556640625","1560","0.005493040442164443","32","0.005493040442164443","0","0.005493040442164443","0.005493040442164443","69:0.05913458296514898;71:0.03412519855601254","69:68;71:68","69:0.012628468137774157;71:0.012571664918637787","0.0621337890625","Yes"
"71","148.60656164250156","37.53817493825131","0.0439453125","0.05126953125","0.03662109375","1560","0.0004317997869649123","32","0.0004317997869649123","0","0.0004317997869649123","0.0004317997869649123","75:0.002981864979532012;70:0.03412519855601254","75:112;70:68","75:0.0031733619717545236;70:0.012571664918637787","0.0439453125","Yes"
"72","94.75058115564737","69.79927887443706","0.0118408203125","0.012451171875","0.01123046875","1560","0.00043942229109300915","32","0.00043942229109300915","0","0.00043942229109300915","0.00043942229109300915","59:0.00558923779564785;78:0.0035961171097615152","59:68;78:120","59:0.0075417005790093805;78:0.0034050854940736452","0.0118408203125","Yes"
"73","223.80808855116328","63.502548718130505","0.0279541015625","0.0224609375","0.033447265625","1560","0.0006010278197603381","32","0.0006010278197603381","0","0.0006010278197603381","0.0006010278197603381","82:0.0021407519597357594;63:0.0026018809192552284","82:88;63:88","82:0.001955376105388984;63:0.0028369899258746667","0.0279541015625","Yes"
