"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","Operational"
"57","210.2743004435555","148.96107424250974","0.0125732421875","0.023681640625","0.00146484375","2584","0.00043634228950104373","36","0.00043634228950104373","0","0.00043634228950104373","0.00043634228950104373","47:0.0017729310970198697;67:0.0018906355877189307","47:68;67:68","47:0.0019052722767567976;67:0.002322445251988353","0.0125732421875","Yes"
"58","162.2537516708885","162.75594637841542","0.025146484375","0.034912109375","0.015380859375","2584","0.0002570150524484788","36","0.0002570150524484788","0","0.0002570150524484788","0.0002570150524484788","71:0.0024433307027048046;51:0.0012210585743810676","71:68;51:68","71:0.003681262907796551","0.025146484375","Yes"
"59","156.302535281405","152.97594970801129","0.02001953125","0.037109375","0.0029296875","2584","0.0002527777119909787","36","0.0002527777119909787","0","0.0002527777119909787","0.0002527777119909787","55:0.0018630062652287838;75:0.0031504903835029574","55:68;75:68","55:0.001765694648985655;75:0.0019846273087122668","0.02001953125","Yes"
"60","112.1778949239715","60.93393633685706","0.0697021484375","0.047119140625","0.09228515625","2584","0.00034882573211708596","36","0.00034882573211708596","0","0.00034882573211708596","0.00034882573211708596","61:0.007002825578748373","61:80","","0.0697021484375","Yes"
"61","217.07994002571414","152.20402405820667","0.0238037109375","0.01171875","0.02490234375","2584","0.00017914299589221597","36","0.00017914299589221597","0","0.00017914299589221597","0.00017914299589221597","76:0.002789160999778245;60:0.007002825578748373;62:0.003131543544484","76:68;60:80;62:68","76:0.002108978376682724;62:0.0020960085654357363","0.0238037109375","Yes"
"62","123.96039282655917","70.87275270990645","0.1578369140625","0.28271484375","0.032958984375","2584","0.00039149816166379465","36","0.00039149816166379465","0","0.00039149816166379465","0.00039149816166379465","61:0.003131543544484;63:0.0022039070279226136","61:68;63:68","61:0.0020960085654357363;63:0.002417589091676553","0.1578369140625","Yes"
"63","199.41202892025802","183.057810314844","0.1480712890625","0.28369140625","0.012451171875","2584","0.0002873890490829106","36","0.0002873890490829106","0","0.0002873890490829106","0.0002873890490829106","56:0.002266299568739638;62:0.0022039070279226136;64:0.004074928225273472","56:68;62:68;64:68","56:0.0025144146611267015;62:0.002417589091676553;64:0.0029706691221177695","0.1480712890625","Yes"
"64","188.94617812491404","25.015251973554783","0.0118408203125","0.021240234375","0.00244140625","2584","0.00036994719701447177","36","0.00036994719701447177","0","0.00036994719701447177","0.00036994719701447177","65:0.004467668433515426;63:0.004074928225273472","65:68;63:68","65:0.0019219017891494994;63:0.0029706691221177695","0.0118408203125","Yes"
"65","271.33380497800994","70.79138584447291","0.0289306640625","0.053466796875","0.00439453125","2584","0.00020595467954073678","36","0.00020595467954073678","0","0.00020595467954073678","0.00020595467954073678","64:0.004467668433515426;66:0.004173277345658366;77:0.002426354941958281","64:68;66:68;77:68","64:0.0019219017891494994;66:0.0025137157286480583;77:0.0026529147381684492","0.0289306640625","Yes"
"66","151.85506484952325","96.96769216481204","0.0111083984375","0.02197265625","0.000244140625","2584","0.00036597781510547977","36","0.00036597781510547977","0","0.00036597781510547977","0.00036597781510547977","65:0.004173277345658366;67:0.0034806586140602724","65:68;67:68","65:0.0025137157286480583;67:0.002428568357579902","0.0111083984375","Yes"
