"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"30","149.4770270477129","165.07478768744477","0.00341796875","0.0048828125","0.001953125","2200","0.00031026553337273595","32","0.00031026553337273595","0","0.00031026553337273595","0.00031026553337273595","31:0.0015250576174269947;29:0.0016337184496746926","31:68;29:68","31:0.0017928988108760757;29:0.0019899319867462684","0.00341796875","0.004150390625","Yes"
"31","356.3332048744263","289.91077228321416","0.001953125","0.00146484375","0.00244140625","2200","0.00011783064323069054","32","0.00011783064323069054","0","0.00011783064323069054","0.00011783064323069054","30:0.0015250576174269947;32:0.000820976179944588;18:0.0008096914284575762","30:68;32:68;18:68","30:0.0017928988108760757;32:0.0008770533286525939;18:0.003645030625136908","0.001953125","0.001708984375","Yes"
"32","312.4389348422816","311.3356415303276","0.002685546875","0.00390625","0.00146484375","2200","0.00011152479086543073","32","0.00011152479086543073","0","0.00011152479086543073","0.00011152479086543073","31:0.000820976179944588;33:0.0010790939887610485","31:68;33:68","31:0.0008770533286525939;33:0.0020273643945774855","0.002685546875","0.001953125","Yes"
"33","345.9428354164272","361.14893900056256","0.00341796875","0.00146484375","0.00537109375","2200","0.00009799478298963496","32","0.00009799478298963496","0","0.00009799478298963496","0.00009799478298963496","39:0.001026449450574618;32:0.0010790939887610485;34:0.0012809056273669073","39:68;32:68;34:68","39:0.0012786021973595074;32:0.0020273643945774855;34:0.0013902911585572941","0.00341796875","0.002197265625","Yes"
"34","303.9144916806538","387.35465788274144","0.002685546875","0.00244140625","0.0029296875","2200","0.00009319852426527144","32","0.00009319852426527144","0","0.00009319852426527144","0.00009319852426527144","33:0.0012809056273669073;35:0.0012495980753055858","33:68;35:68","33:0.0013902911585572941;35:0.0009644738022225596","0.002685546875","0.004638671875","Yes"
"35","297.0174556000124","370.74570638091313","0.001708984375","0.00341796875","0","2200","0.00007311659372754176","32","0.00007311659372754176","0","0.00007311659372754176","0.00007311659372754176","19:0.0006797921170212939;34:0.0012495980753055858","19:68;34:68","19:0.0008285908885619919;34:0.0009644738022225596","0.001708984375","0.001708984375","Yes"
"36","311.1292830572478","333.39791630582215","0.003173828125","0.00244140625","0.00390625","2200","0.0002157745205826349","32","0.0002157745205826349","0","0.0002157745205826349","0.0002157745205826349","41:0.0011048146557738614;21:0.0022376549407815416","41:68;21:68","41:0.001084861437382817;21:0.0019019013802058227","0.003173828125","0.0009765625","Yes"
"37","300.9489317574852","439.5193640196418","0.004638671875","0.00390625","0.00537109375","2200","0.00015090140763251829","32","0.00015090140763251829","0","0.00015090140763251829","0.00015090140763251829","45:0.0012491693656514757;25:0.001003091434245068","45:68;25:68","45:0.0010564629403736758;25:0.0009976560837637871","0.004638671875","0.001953125","Yes"
"38","210.66877642468896","251.53477780197488","0.005859375","0.0078125","0.00390625","2200","0.0001587765350107019","32","0.0001587765350107019","0","0.0001587765350107019","0.0001587765350107019","29:0.0009092934979910705;49:0.00109318143910081","29:68;49:68","29:0.0012782981631088153;49:0.0010816413681322412","0.005859375","0.001953125","Yes"
"39","285.56874209939224","321.4826216882456","0.00390625","0.00439453125","0.00341796875","2200","0.00022981671383232418","32","0.00022981671383232418","0","0.00022981671383232418","0.00022981671383232418","53:0.001160876292375601;33:0.001026449450574618","53:68;33:68","53:0.000818630441456969;33:0.0012786021973595074","0.00390625","0.0068359375","Yes"
"40","238.85926343478852","509.76505848349314","0.0029296875","0.00390625","0.001953125","2200","0.00010472373726702878","32","0.00010472373726702878","0","0.00010472373726702878","0.00010472373726702878","41:0.0010272887672862496","41:68","41:0.0009431403498279256","0.0029296875","0.0029296875","Yes"
"41","263.307080628139","314.4889108683984","0.003173828125","0.00439453125","0.001953125","2200","0.0001502266586232304","32","0.0001502266586232304","0","0.0001502266586232304","0.0001502266586232304","40:0.0010272887672862496;42:0.0008345886500653599;36:0.0011048146557738614","40:68;42:68;36:68","40:0.0009431403498279256;42:0.0010212634424409395;36:0.001084861437382817","0.003173828125","0.0068359375","Yes"
"42","257.77463644369624","274.5078654817132","0.003173828125","0.00341796875","0.0029296875","2200","0.00013022834388704753","32","0.00013022834388704753","0","0.00013022834388704753","0.00013022834388704753","41:0.0008345886500653599;43:0.001128056573117736","41:68;43:68","41:0.0010212634424409395;43:0.000975159106795298","0.003173828125","0.008544921875","Yes"
"43","296.369868297411","383.94856840075613","0.002197265625","0.00390625","0.00048828125","2200","0.00009220442112000935","32","0.00009220442112000935","0","0.00009220442112000935","0.00009220442112000935","42:0.001128056573117736;56:0.0008099285964627279;44:0.0008381879798176894","42:68;56:68;44:68","42:0.000975159106795298;56:0.0014558922684346776;44:0.0011280754752294453","0.002197265625","0.00341796875","Yes"
"44","271.81205642019194","327.1546074955288","0.00146484375","0.0029296875","0","2200","0.00014161649856630836","32","0.00014161649856630836","0","0.00014161649856630836","0.00014161649856630836","45:0.001148034018816524;43:0.0008381879798176894","45:68;43:68","45:0.0011128080713518895;43:0.0011280754752294453","0.00146484375","0.003173828125","Yes"
"45","229.07268595460437","254.2801627021473","0.00439453125","0.00537109375","0.00341796875","2200","0.00020843058032205775","32","0.00020843058032205775","0","0.00020843058032205775","0.00020843058032205775","44:0.001148034018816524;46:0.10386200999838828;37:0.0012491693656514757","44:68;46:68;37:68","44:0.0011128080713518895;46:0.10312877059374004;37:0.0010564629403736758","0.00439453125","0.004638671875","Yes"
"46","45.18766554744513","31.09091182723339","0.040771484375","0.08154296875","0","2200","0.005707980489604197","32","0.005707980489604197","0","0.005707980489604197","0.005707980489604197","45:0.10386200999838828;47:0.035359475354571485","45:68;47:68","45:0.10312877059374004;47:0.048390576447920414","0.040771484375","0.013916015625","Yes"
"47","320.1915980703102","303.9424151462767","0.00390625","0.00634765625","0.00146484375","2200","0.00021228366943544646","32","0.00021228366943544646","0","0.00021228366943544646","0.00021228366943544646","48:0.001392384272056485;57:0.0008506326497941252;46:0.035359475354571485","48:68;57:68;46:68","48:0.0012021591841699097;57:0.0009133449212272993;46:0.048390576447920414","0.00390625","0.00146484375","Yes"
"48","262.6265430570253","360.2493355921011","0.008056640625","0.013671875","0.00244140625","2200","0.0001118165765842939","32","0.0001118165765842939","0","0.0001118165765842939","0.0001118165765842939","47:0.001392384272056485;49:0.001217911550819989","47:68;49:68","47:0.0012021591841699097;49:0.0013153674530108905","0.008056640625","0.002197265625","Yes"
"49","294.77594163157914","234.3983604680997","0.005859375","0.00537109375","0.00634765625","2200","0.0001548569448002003","32","0.0001548569448002003","0","0.0001548569448002003","0.0001548569448002003","48:0.001217911550819989;50:0.0014250288454467908;38:0.00109318143910081","48:68;50:68;38:68","48:0.0013153674530108905;50:0.0016764912280112232;38:0.0010816413681322412","0.005859375","0.005126953125","Yes"
"50","191.13193757553003","179.7537536362396","0.001953125","0.00390625","0","2200","0.00018232489264719527","32","0.00018232489264719527","0","0.00018232489264719527","0.00018232489264719527","49:0.0014250288454467908;51:0.0008628902753224643","49:68;51:68","49:0.0016764912280112232;51:0.001311854134510515","0.001953125","0.001953125","Yes"
"51","250.17721617111798","252.1287682684654","0.002685546875","0.00341796875","0.001953125","2200","0.00011149697042977144","32","0.00011149697042977144","0","0.00011149697042977144","0.00011149697042977144","50:0.0008628902753224643;52:0.0013560537727836663;58:0.0016697920639786312","50:68;52:68;58:68","50:0.001311854134510515;52:0.0018680753380664328;58:0.0013567862188496316","0.002685546875","0.001953125","Yes"
"52","196.53257034807788","231.05843559911983","0.00439453125","0.00634765625","0.00244140625","2200","0.00023851771701259979","32","0.00023851771701259979","0","0.00023851771701259979","0.00023851771701259979","51:0.0013560537727836663;53:0.002697444019228501","51:68;53:68","51:0.0018680753380664328;53:0.001444973038182612","0.00439453125","0.004150390625","Yes"
"53","348.1213925252013","389.0025217069745","0.013427734375","0.0146484375","0.01220703125","2200","0.0001561082504094887","32","0.0001561082504094887","0","0.0001561082504094887","0.0001561082504094887","39:0.001160876292375601;52:0.002697444019228501;54:0.0009275935598088147","39:68;52:68;54:88","39:0.000818630441456969;52:0.001444973038182612;54:0.0010262758326867183","0.013427734375","0.009521484375","Yes"
"54","267.21502010143945","345.56575000632216","0.0029296875","0.00341796875","0.00244140625","2200","0.000178328846731526","32","0.000178328846731526","0","0.000178328846731526","0.000178328846731526","53:0.0009275935598088147;55:0.0007555851320418527","53:88;55:68","53:0.0010262758326867183;55:0.0013947261223594132","0.0029296875","0.00439453125","Yes"
"55","335.9168118112987","353.70905208745313","0.002197265625","0.0029296875","0.00146484375","2200","0.00009538998815336273","32","0.00009538998815336273","0","0.00009538998815336273","0.00009538998815336273","59:0.0010041444716141212;54:0.0007555851320418527","59:68;54:68","59:0.0011184826908019752;54:0.0013947261223594132","0.002197265625","0.003662109375","Yes"
"56","263.4864734281413","357.66304040016394","0.002197265625","0.0029296875","0.00146484375","2200","0.00013118825732111254","32","0.00013118825732111254","0","0.00013118825732111254","0.00013118825732111254","63:0.0014127257674913796;43:0.0008099285964627279","63:68;43:68","63:0.0013361826311174552;43:0.0014558922684346776","0.002197265625","0.00341796875","Yes"
"57","300.84550396970366","340.9868417842614","0.004638671875","0.00439453125","0.0048828125","2200","0.00016527728205336067","32","0.00016527728205336067","0","0.00016527728205336067","0.00016527728205336067","47:0.0008506326497941252;67:0.0010522263090406714","47:68;67:68","47:0.0009133449212272993;67:0.0007453383719036311","0.004638671875","0.00341796875","Yes"
"58","203.8912592754136","195.69827382663095","0.003173828125","0.00537109375","0.0009765625","2200","0.0001636259091913305","32","0.0001636259091913305","0","0.0001636259091913305","0.0001636259091913305","71:0.0010893484196989323;51:0.0016697920639786312","71:68;51:68","71:0.0007998150589615116;51:0.0013567862188496316","0.003173828125","0.00390625","Yes"
"59","270.5416853065318","336.9341412234696","0.0048828125","0.00341796875","0.00634765625","2200","0.000504376296816169","32","0.000504376296816169","0","0.000504376296816169","0.000504376296816169","55:0.0010041444716141212;75:0.001641974952438674","55:68;75:68","55:0.0011184826908019752;75:0.001042404435496358","0.0048828125","0.005126953125","Yes"
"60","277.76018337650476","480.6976095142714","0.00390625","0.00439453125","0.00341796875","2200","0.00016098862266291739","32","0.00016098862266291739","0","0.00016098862266291739","0.00016098862266291739","61:0.0014539131430978125","61:68","61:0.0015279158144134164","0.00390625","0.003662109375","Yes"
"61","282.89265928168163","364.4735643831326","0.002685546875","0.00439453125","0.0009765625","2200","0.00019610704786685823","32","0.00019610704786685823","0","0.00019610704786685823","0.00019610704786685823","76:0.0010612707953404077;60:0.0014539131430978125;62:0.0010999368696446021","76:68;60:68;62:68","76:0.001542267813203324;60:0.0015279158144134164;62:0.0009937152527133009","0.002685546875","0.001708984375","Yes"
"62","312.9736593917472","266.35500558223237","0.005126953125","0.00537109375","0.0048828125","2200","0.0001258975857046885","32","0.0001258975857046885","0","0.0001258975857046885","0.0001258975857046885","61:0.0010999368696446021;63:0.0009618780835229102","61:68;63:68","61:0.0009937152527133009;63:0.0009009770555098162","0.005126953125","0.003662109375","Yes"
"63","355.2089707222851","435.6654570771774","0.00244140625","0.00390625","0.0009765625","2200","0.00014724049158842782","32","0.00014724049158842782","0","0.00014724049158842782","0.00014724049158842782","56:0.0014127257674913796;62:0.0009618780835229102;64:0.002574287823328081","56:68;62:68;64:68","56:0.0013361826311174552;62:0.0009009770555098162;64:0.0024364323282494715","0.00244140625","0.004150390625","Yes"
"64","27.13692376044005","51.3301409671472","0.010009765625","0.02001953125","0","2200","0.0004933730574343033","32","0.0004933730574343033","0","0.0004933730574343033","0.0004933730574343033","65:0.0030867654744093087;63:0.002574287823328081","65:68;63:68","65:0.002665894471438307;63:0.0024364323282494715","0.010009765625","0.004638671875","Yes"
"65","334.21282076967367","245.22547852044468","0.019287109375","0.0029296875","0.03564453125","2200","0.00012500464243046943","32","0.00012500464243046943","0","0.00012500464243046943","0.00012500464243046943","64:0.0030867654744093087;66:0.0011901511170454293;77:0.0008054235111649988","64:68;66:68;77:68","64:0.002665894471438307;66:0.0018846698271944295;77:0.0013794017914448564","0.019287109375","0.0234375","Yes"
"66","319.36114650943705","242.83585992607615","0.00439453125","0.001953125","0.0068359375","2200","0.00014769178822611855","32","0.00014769178822611855","0","0.00014769178822611855","0.00014769178822611855","65:0.0011901511170454293;67:0.0028883739560104094","65:68;67:68","65:0.0018846698271944295;67:0.002240358952535715","0.00439453125","0.002197265625","Yes"
"67","284.7871448807164","369.689977276025","0.004150390625","0.00439453125","0.00390625","2200","0.00009990807062796284","32","0.00009990807062796284","0","0.00009990807062796284","0.00009990807062796284","68:0.000844478739358473;57:0.0010522263090406714;66:0.0028883739560104094","68:68;57:68;66:68","68:0.0012454375016394958;57:0.0007453383719036311;66:0.002240358952535715","0.004150390625","0.001708984375","Yes"
"68","253.85884447056307","190.0076486183155","0.008056640625","0.00830078125","0.0078125","2200","0.00009559708062096975","32","0.00009559708062096975","0","0.00009559708062096975","0.00009559708062096975","67:0.000844478739358473;69:0.0009018664209593519","67:68;69:68","67:0.0012454375016394958;69:0.001083991721242128","0.008056640625","0.001220703125","Yes"
"69","245.27175337373924","254.8473045543679","0.00537109375","0.00439453125","0.00634765625","2200","0.00008287347924688793","32","0.00008287347924688793","0","0.00008287347924688793","0.00008287347924688793","78:0.0008783767517270558;68:0.0009018664209593519;70:0.002010572321569648","78:68;68:68;70:68","78:0.0011731442523648938;68:0.001083991721242128;70:0.0011332936384985948","0.00537109375","0.0048828125","Yes"
