"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"38","138.56470389000057","164.3202610732717","0.00927734375","0.00927734375","0.00927734375","1560","0.00027667026414124194","24","0.00027667026414124194","0","0.00027667026414124194","0.00027667026414124194","29:68;49:68","29:0.002113996811786034;49:0.00402042622006793","29:0.0019804311610988057;49:0.0031401326369263627","0.00927734375","Yes"
"39","115.93575367506237","123.71476399987002","0.01708984375","0.02392578125","0.01025390625","1560","0.0004328411508815318","24","0.0004328411508815318","0","0.0004328411508815318","0.0004328411508815318","53:68;33:68","53:0.007551114390839775;33:0.0016351146407907469","53:0.0052783850689441525;33:0.0023510920237276023","0.01708984375","Yes"
"40","107.30822446263294","113.2076065915312","0.020263671875","0.02294921875","0.017578125","1560","0.00016439279439932849","24","0.00016439279439932849","0","0.00016439279439932849","0.00016439279439932849","41:68","41:0.0015559876389547311","41:0.001860808948648096","0.020263671875","Yes"
"41","166.00481459799474","136.71018304153822","0.1015625","0.11767578125","0.08544921875","1560","0.00017308916269543993","24","0.00017308916269543993","0","0.00017308916269543993","0.00017308916269543993","40:68;42:68;36:68","40:0.0015559876389547311;42:0.0019444745160046017;36:0.0017721915859304216","40:0.001860808948648096;42:0.0024009383008760654;36:0.002011203325128552","0.1015625","Yes"
"42","139.87307622862858","41.518583924555685","0.0166015625","0.01513671875","0.01806640625","1560","0.0002443610162750137","24","0.0002443610162750137","0","0.0002443610162750137","0.0002443610162750137","41:68;43:68","41:0.0019444745160046017;43:0.005822922200239444","41:0.0024009383008760654;43:0.006438762855844604","0.0166015625","Yes"
"43","162.09136012842524","88.00793097721186","0.123779296875","0.12109375","0.12646484375","1560","0.0005839282051644831","24","0.0005839282051644831","0","0.0005839282051644831","0.0005839282051644831","42:68;56:68;44:68","42:0.005822922200239444;56:0.005754931366801108;44:0.02965140128382604","42:0.006438762855844604;56:0.006791495635043665;44:0.040364602108804326","0.123779296875","Yes"
"44","165.83397226613135","156.12267152480794","0.00537109375","0.0068359375","0.00390625","1560","0.00040650908399112156","24","0.00040650908399112156","0","0.00040650908399112156","0.00040650908399112156","45:68;43:68","45:0.0021690623058924496;43:0.02965140128382604","45:0.0021972305447770235;43:0.040364602108804326","0.00537109375","Yes"
"45","77.15037988339779","87.66761162730637","0.039306640625","0.04150390625","0.037109375","1560","0.00012568197972896838","24","0.00012568197972896838","0","0.00012568197972896838","0.00012568197972896838","44:68;46:68;37:68","44:0.0021690623058924496;46:0.0032339183116360803;37:0.0021569756006851737","44:0.0021972305447770235;46:0.0031551285028506293;37:0.0019039229157089832","0.039306640625","Yes"
"46","143.69845888138332","12.090212914705383","0.006591796875","0.01025390625","0.0029296875","1560","0.0004798816662316236","24","0.0004798816662316236","0","0.0004798816662316236","0.0004798816662316236","45:68;47:68","45:0.0032339183116360803;47:0.0029207373636158107","45:0.0031551285028506293;47:0.002822452176837159","0.006591796875","Yes"
"47","121.40774682083288","55.0807562770775","0.028076171875","0.03271484375","0.0234375","1560","0.00023229159321565675","24","0.00023229159321565675","0","0.00023229159321565675","0.00023229159321565675","48:68;57:68;46:68","48:0.0020480170970636757;57:0.007139664534840412;46:0.0029207373636158107","48:0.0018221434999982633;57:0.007447705861383186;46:0.002822452176837159","0.028076171875","Yes"
"48","113.4437910505081","53.71206941766059","0.0068359375","0.009765625","0.00390625","1560","0.00028304485900158794","24","0.00028304485900158794","0","0.00028304485900158794","0.00028304485900158794","47:68;49:68","47:0.0020480170970636757;49:0.003600321395460848","47:0.0018221434999982633;49:0.006052392980958804","0.0068359375","Yes"
"49","135.7459910608063","27.48150790262635","0.051513671875","0.05517578125","0.0478515625","1560","0.00026311082853292363","24","0.00026311082853292363","0","0.00026311082853292363","0.00026311082853292363","48:68;50:68;38:68","48:0.003600321395460848;50:0.0047163855086470585;38:0.00402042622006793","48:0.006052392980958804;50:0.006865695036406272;38:0.0031401326369263627","0.051513671875","Yes"
"50","187.81005034747795","77.43669421242461","0.005859375","0.0087890625","0.0029296875","1560","0.0007067628212890563","24","0.0007067628212890563","0","0.0007067628212890563","0.0007067628212890563","49:68;51:68","49:0.0047163855086470585;51:0.002975360156160567","49:0.006865695036406272;51:0.0033332060895093774","0.005859375","Yes"
"51","106.86249708880267","93.5091446310561","0.113525390625","0.099609375","0.12744140625","1560","0.0001598959288588736","24","0.0001598959288588736","0","0.0001598959288588736","0.0001598959288588736","50:68;52:68;58:68","50:0.002975360156160567;52:0.0019342034374382755;58:0.0029734910502988154","50:0.0033332060895093774;52:0.0028433501125990357;58:0.0017767868969694456","0.113525390625","Yes"
"52","149.67294597759548","128.8070867760676","0.01904296875","0.0185546875","0.01953125","1560","0.00032950738026552793","24","0.00032950738026552793","0","0.00032950738026552793","0.00032950738026552793","51:68;53:68","51:0.0019342034374382755;53:0.002458762601410036","51:0.0028433501125990357;53:0.0027830292460936934","0.01904296875","Yes"
"53","142.40121756178075","12.451004483779254","0.14208984375","0.15771484375","0.12646484375","1560","0.00018631355140560639","24","0.00018631355140560639","0","0.00018631355140560639","0.00018631355140560639","39:68;52:68;54:68","39:0.007551114390839775;52:0.002458762601410036;54:0.005028910702309597","39:0.0052783850689441525;52:0.0027830292460936934;54:0.006483959713710158","0.14208984375","Yes"
"54","114.54759150919283","137.55756205948103","0.008056640625","0.01025390625","0.005859375","1560","0.0005264387224001767","24","0.0005264387224001767","0","0.0005264387224001767","0.0005264387224001767","53:68;55:68","53:0.005028910702309597;55:0.002782745610734827","53:0.006483959713710158;55:0.003674155639996096","0.008056640625","Yes"
"55","57.948569518589025","72.50339544863962","0.1103515625","0.14208984375","0.07861328125","1560","0.00030977448293258625","24","0.00030977448293258625","0","0.00030977448293258625","0.00030977448293258625","59:68;54:68","59:0.0024775534596720994;54:0.002782745610734827","59:0.0025925243713068036;54:0.003674155639996096","0.1103515625","Yes"
"56","171.11094589148942","217.18331013788193","0.013916015625","0.0166015625","0.01123046875","1560","0.0005617570686652807","24","0.0005617570686652807","0","0.0005617570686652807","0.0005617570686652807","63:68;43:68","63:0.00520932703273258;43:0.005754931366801108","63:0.005551569905714232;43:0.006791495635043665","0.013916015625","Yes"
"57","149.56368254301225","76.54877038188305","0.010986328125","0.01904296875","0.0029296875","1560","0.0006352763113276341","24","0.0006352763113276341","0","0.0006352763113276341","0.0006352763113276341","47:68;67:68","47:0.007139664534840412;67:0.013134602454839661","47:0.007447705861383186;67:0.009606327064624498","0.010986328125","Yes"
"58","106.77781815243037","88.46329732208261","0.0126953125","0.0224609375","0.0029296875","1560","0.0003455170534575986","24","0.0003455170534575986","0","0.0003455170534575986","0.0003455170534575986","71:68;51:68","71:0.0020911845595330825;51:0.0029734910502988154","71:0.0013095763676667094;51:0.0017767868969694456","0.0126953125","Yes"
"59","96.70610992524367","80.54409130189619","0.010009765625","0.0126953125","0.00732421875","1560","0.0004530741180841996","24","0.0004530741180841996","0","0.0004530741180841996","0.0004530741180841996","55:68;75:68","55:0.0024775534596720994;75:0.00245600515975003","55:0.0025925243713068036;75:0.002622101141602301","0.010009765625","Yes"
"60","175.28660349198864","25.03582730272124","0.04638671875","0.0498046875","0.04296875","1560","0.00047407140854622285","24","0.00047407140854622285","0","0.00047407140854622285","0.00047407140854622285","61:68","61:0.0022009595491235823","61:0.0020027737340283236","0.04638671875","Yes"
"61","255.68159571069282","124.08712419002742","0.058837890625","0.0732421875","0.04443359375","1560","0.00023785841830546687","24","0.00023785841830546687","0","0.00023785841830546687","0.00023785841830546687","76:68;60:68;62:68","76:0.005502135355531124;60:0.0022009595491235823;62:0.002632373754801881","76:0.002890308004983466;60:0.0020027737340283236;62:0.0030625213303023535","0.058837890625","Yes"
"62","119.26949370953326","45.46514976432486","0.0234375","0.03125","0.015625","1560","0.0004959696205138125","24","0.0004959696205138125","0","0.0004959696205138125","0.0004959696205138125","61:68;63:68","61:0.002632373754801881;63:0.006235722435526114","61:0.0030625213303023535;63:0.010285282892548403","0.0234375","Yes"
"63","147.37982547715464","22.879184544452084","0.045166015625","0.05126953125","0.0390625","1560","0.0010883456622729328","24","0.0010883456622729328","0","0.0010883456622729328","0.0010883456622729328","56:68;62:68;64:68","56:0.00520932703273258;62:0.006235722435526114;64:0.04679758156213329","56:0.005551569905714232;62:0.010285282892548403;64:0.08002154748766516","0.045166015625","Yes"
"64","108.78930449266882","87.6428745507247","0.005859375","0.009765625","0.001953125","1560","0.00027655878139931634","24","0.00027655878139931634","0","0.00027655878139931634","0.00027655878139931634","65:68;63:68","65:0.0036218467916893926;63:0.04679758156213329","65:0.002512483951079697;63:0.08002154748766516","0.005859375","Yes"
"65","117.26425905898083","82.94681754344819","0.0751953125","0.1025390625","0.0478515625","1560","0.00043551779043845217","24","0.00043551779043845217","0","0.00043551779043845217","0.00043551779043845217","64:68;66:68;77:68","64:0.0036218467916893926;66:0.0023170211389679507;77:0.004932107417121717","64:0.002512483951079697;66:0.0036848079860620775;77:0.0036093141864395606","0.0751953125","Yes"
"66","103.78443954154028","17.605031669153288","0.0107421875","0.0146484375","0.0068359375","1560","0.00025873704942818543","24","0.00025873704942818543","0","0.00025873704942818543","0.00025873704942818543","65:68;67:68","65:0.0023170211389679507;67:0.0024673948229653464","65:0.0036848079860620775;67:0.0027939341073671686","0.0107421875","Yes"
"67","166.33446300995845","64.33328418403836","0.045166015625","0.05517578125","0.03515625","1560","0.0002885494806564491","24","0.0002885494806564491","0","0.0002885494806564491","0.0002885494806564491","68:68;57:68;66:68","68:0.00309049286953636;57:0.013134602454839661;66:0.0024673948229653464","68:0.004628061165463604;57:0.009606327064624498;66:0.0027939341073671686","0.045166015625","Yes"
"68","119.05788665820197","92.98998624231845","0.009521484375","0.01708984375","0.001953125","1560","0.00020784846169555194","24","0.00020784846169555194","0","0.00020784846169555194","0.00020784846169555194","67:68;69:68","67:0.00309049286953636;69:0.0025436307225751575","67:0.004628061165463604;69:0.004760269666516076","0.009521484375","Yes"
"69","111.1005093116825","76.79480477899143","0.02490234375","0.03466796875","0.01513671875","1560","0.00019124480830609906","24","0.00019124480830609906","0","0.00019124480830609906","0.00019124480830609906","78:68;68:68;70:68","78:0.0022149523010362437;68:0.0025436307225751575;70:0.004266480163173242","78:0.0016547832468226942;68:0.004760269666516076;70:0.0032194555456454277","0.02490234375","Yes"
"70","121.19006541803569","104.63092191409967","0.006591796875","0.01123046875","0.001953125","1560","0.00032149852411354676","24","0.00032149852411354676","0","0.00032149852411354676","0.00032149852411354676","69:68;71:68","69:0.004266480163173242;71:0.0030207921253175563","69:0.0032194555456454277;71:0.0033072722662585707","0.006591796875","Yes"
"71","89.71106496349287","77.66675389309276","0.013427734375","0.0146484375","0.01220703125","1560","0.0003288759887585972","24","0.0003288759887585972","0","0.0003288759887585972","0.0003288759887585972","72:68;58:68;70:68","58:0.0020911845595330825;70:0.0030207921253175563","72:0.24937979559460924;58:0.0013095763676667094;70:0.0033072722662585707","0.013427734375","Yes"
"72","10.459335419923361","99.15649886504495","0.4775390625","0.099609375","0.85546875","1560","","24","","0","","","73:68;71:68","","73:0.24947289266949235;71:0.24937979559460924","0.4775390625","Yes"
"73","225.35959504916264","77.91290931136858","0.057861328125","0.08447265625","0.03125","1560","0.0002821122984834877","24","0.0002821122984834877","0","0.0002821122984834877","0.0002821122984834877","72:68;74:68;79:68","74:0.0024884460272233677;79:0.0027880012448714686","72:0.24947289266949235;74:0.0021923162468285295;79:0.010170005527657261","0.057861328125","Yes"
"74","158.9159784156508","142.30040343585517","0.00732421875","0.00927734375","0.00537109375","1560","0.0003272971529192023","24","0.0003272971529192023","0","0.0003272971529192023","0.0003272971529192023","73:68;75:68","73:0.0024884460272233677;75:0.002163236777980554","73:0.0021923162468285295;75:0.001892295973498881","0.00732421875","Yes"
"75","171.63434800930673","140.9308645825161","0.011474609375","0.0185546875","0.00439453125","1560","0.00034478719739185475","24","0.00034478719739185475","0","0.00034478719739185475","0.00034478719739185475","59:68;74:68","59:0.00245600515975003;74:0.002163236777980554","59:0.002622101141602301;74:0.001892295973498881","0.011474609375","Yes"
"76","113.54829736995939","71.84585002325619","0.041748046875","0.044921875","0.03857421875","1560","0.0004228766857383131","24","0.0004228766857383131","0","0.0004228766857383131","0.0004228766857383131","81:68;61:68","81:0.0050978235679752515;61:0.005502135355531124","81:0.002368279072313101;61:0.002890308004983466","0.041748046875","Yes"
"77","146.17527049182524","46.16799160594079","0.0146484375","0.02099609375","0.00830078125","1560","0.0002810448280488779","24","0.0002810448280488779","0","0.0002810448280488779","0.0002810448280488779","85:68;65:68","85:0.0029996082115484046;65:0.004932107417121717","85:0.0030420500555724816;65:0.0036093141864395606","0.0146484375","Yes"
